Item,Gluten-Free
Sirloin Steak Grilled Harissa Poussin,1
VAT,1
Adults,1
Gilligan s Shrimp Dip Chopped,1
Peel N Eat Shrimp,1
Bacon Wrapped Crab Stuffed,1
Teriyaki,1
House,1
Bleu Cheese,1
House,1
Fried Calamari Tossed,0
Mozzarella Sticks Hand,1
Coleslaw,1
Red Rice or,1
French,1
Honey,1
Blackened,1
Salmon Peel N Eat Steamed Shrimp,1
Dressings House Ranch,1
Mustard House,1
French,1
Grilled Crabcakes,1
Gilligan,1
Buffalo Chicken Sandwich Fried,0
Crabcake Sandwich,1
Shrimp Sausage,1
Fried Flounder Sandwich,0
Shrimp Tacos,1
Petite,1
Mate Captain,1
Gilligan s Deluxe Cheeseburger Topped,1
American,1
Gilligan s Crabby Patty Combination,1
patty,1
Fried Shrimp Oyster Combo Hand,0
Coleslaw,1
Red Rice or,1
French,1
House,1
Coleslaw,1
Red Rice or,1
French,1
MKT,1
ON THE SHELL Gilligan s Shrimp,1
Snow Crab Legs Steamed,1
MKT,1
Old Bay Seasoning,1
Fried Seafood Platter Fried,0
Fried Chicken Tenders Lightly,0
US,1
INSTAGRAM,1
Grandma,1
Topped,1
Strips,1
TURKEY,1
two,1
potato mashed potato rice pilaf,1
PACIFIC RED SNAPPER Lightly,1
SHRIMP,1
Lodi s Oakridge Winery Wine,1
Vine Zin,1
Cabernet Sauvignon,1
Small Large Large,1
Served,1
Four,1
french,1
Fingers Appetizer Jalisco,1
French,1
Mexican,1
Border Dip Special,1
pico de de gallo,1
Appetizer Jalisco,1
tortillas CHICKEN WINGS cops,1
Nacho Fajitas FULL Nachos Locos,1
Steak,1
Shrimp Nachos,1
Nachos Tejanos Steak,1
BORNE LUNES,1
YOUHAVEAMEDICN,1
